Time	Artist	Title	Album	Track MBID	Artist MBID	Album MBID
0	Fluke	Absurd		93c6bb6b-ee79-4e0f-b032-75ac8f6c1b4a	3c3d3ad8-3935-4c00-affb-768563916f36	
0	Dream Theater	Constant Motion		62e1eeac-67b2-4406-9289-4fcb819bfa6a	28503ab7-8bf2-4666-a7bd-2644bfc7cb1d	
0	Dream Theater	Forsaken		ab9f2f34-8837-4ffd-910c-dfff22451b09	28503ab7-8bf2-4666-a7bd-2644bfc7cb1d	
0	The Beatles	Back in the U.S.S.R.	Love	4e80a835-7d8f-4dc0-b4ca-541d3cf8512a	b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d	2ecfd0c6-9da6-3d1b-b459-65e0a37a86a3
0	Sandeep Chowta	Akkad Bakkad		11b14304-7384-409e-8dee-cebeaf872ae5	a02f1f31-0895-4d0b-9a6f-815ed51dec92	
0	A.R. Rahman	Anbendra			e0bba708-bdd3-478d-84ea-c706413bedab	
0	U2	All Along The Watchtower Live			a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432	
0	Wax Poetic	Angels	Wax Poetic	a92806bc-53ec-4978-bdfa-b6ec13a823a7	0cc9f11f-2c83-49de-85d3-631df23053e0	4ce148bf-4783-4c23-b719-f76045c93482
0	A.R. Rahman	Anbae Anbae - Hariharan, A.Sriram			e0bba708-bdd3-478d-84ea-c706413bedab	
0	The Beatles	A Day in the Life	Love	17c75743-6fc2-4c72-8152-25c5b45dfea7	b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d	2ecfd0c6-9da6-3d1b-b459-65e0a37a86a3
1486632119639	Train	Ordinary	Alive at Last	e0f48a5f-666d-4f63-98b5-555d20608cf1	e273f427-3287-472d-84fe-1a9f2f91e5e2	2c1a120f-3fb7-489c-985e-805ea2903131
0	Enigma	Sadeness		3d9dae3c-460a-45c8-82a0-bfe580eade1d	f1d1df24-91af-4d27-83a4-9b4ad29b37eb	
0	Bob Dylan	Tangled Up in Blue	The Best of Bob Dylan	28885074-df0c-45d1-8192-4336dd2ec813	72c536dc-7137-4477-a521-567eeb840fa8	78865629-a788-391b-ac1d-a47e26553c10
0	Eagles	Tequila Sunrise		59bc7fbc-5c03-4bc9-b530-dba554f8d67a	f46bd570-5768-462e-b84c-c7c993bbf47e	
0	A.R. Rahman	Boondon Se Baaten (Sujata Trivedi)	Thakshak		e0bba708-bdd3-478d-84ea-c706413bedab	
0	Shankar Ehsan Loy	Main Hoon Don - Remix				
0	Norah Jones	Wish I Could	Not Too Late	0a87b1e1-c533-4605-83fe-d9ade1e7f579	985c709c-7771-4de3-9024-7bda29ebe3f9	8cdee963-2bcb-34dd-b682-5d5dc80dbea3
0	Shankar Ehsan Loy	Koi Kahe Kehta Rahe				
0	Rabbi Shergill	Bulla Ki Jana			e881c88c-c318-4ff4-b4e3-c04447a7563c	
0	Glenn Medeiros	Nothing is gonna change my love for you			a203c2a4-682c-4d72-bc4e-4c61a4250245	
0	Jatin-Lalit	Pehla Nasha		45dd91bb-3b2f-48d3-8191-5840daaa3c99	e565c4ed-e25e-495b-974d-bd1dce53f5e1	
0	Harris Jayaraj	Sirakugal			ecdd5aa9-b760-47d4-9541-3c3d04da433b	
0	Shankar Ehsan Loy	Maahi Ve				
0	Vishal Sekhar	My Dil Goes Mmmm				
0	Sting	Perfect Love...Gone Wrong	Brand New Day	9326ff17-f4f7-42ca-a4ea-2c1ac5ac5e63	7944ed53-2a58-4035-9b93-140a71e41c34	ac625432-b13c-41f6-9882-edcb92e71798
0	The Rolling Stones	Time Is on My Side		c3942c89-1d41-401e-9ea3-2967ef177d36	b071f9fa-14b0-4217-8e97-eb41da73f598	
0	Norah Jones	Not Too Late	Not Too Late	71a78a61-6d8a-4dee-997e-d91f4a053edc	985c709c-7771-4de3-9024-7bda29ebe3f9	8cdee963-2bcb-34dd-b682-5d5dc80dbea3
0	Goo Goo Dolls	Big Machine		6b6e765e-bb9d-4dac-b598-1fad8e3f9ecf	e2c00c56-8365-4160-9f40-a64682917633	
0	Adnan Sami	Tera Chehra	Tera Chehra	5dad52a7-c916-47b8-9e39-1be414da0255	f3100dc5-fbd9-4f07-9456-b5eb065a649f	dc3939c1-3983-4752-bb91-b0d25deaeba0
0	Harris Jayaraj	Thoodu Thoodu			ecdd5aa9-b760-47d4-9541-3c3d04da433b	
0	Jimi Hendrix	Purple Haze		cd686d63-1fa6-4814-95c9-c80fbe514804	06fb1c8b-566e-4cb2-985b-b467c90781d4	
0	Rob Zombie	Dragula		9c1d48c9-2f8b-4c50-adbe-6b1fc0381681	c995a379-60b9-404b-bd97-a7e2de0751d3	
0	Devi Sri Prasad	You Rock My World		9cfeac95-378b-408e-b5ea-133b3776a9d2	d015addc-d2f8-4754-860f-6376fb7ea034	
0	Red Hot Chili Peppers	Stadium Arcadium	Stadium Arcadium	f2854a2e-4290-47d9-87c9-2b3eef8773bf	8bfac288-ccc5-448d-9573-c33ea2aa5c30	176eedfe-de5c-3a7c-bdeb-1c900d317524
0	A.R. Rahman	Thayya Thayya			e0bba708-bdd3-478d-84ea-c706413bedab	
0	Sandeep Chowta	Chandramukhi		feeab9ed-95d2-474e-b959-b4e635d1f3df	a02f1f31-0895-4d0b-9a6f-815ed51dec92	
0	The Doors	Orange County Suite  (40th Anniversary Mix by Bruce Botnick)	The Very Best of The Doors		9efff43b-3b29-4082-824e-bc82f646f93d	475b6b91-86e9-40ba-bb98-c6a65bd1339e
0	Iron Maiden	The Pilgrim	A Matter of Life and Death	72dbf4aa-3776-4c1d-ad4e-fd183fa8b4d7	ca891d65-d9b0-4258-89f7-e6ba29d83767	c113fccc-77b9-326d-9318-ec6dacc8923f
0	Bob Dylan	Mr.Tambourine Man	The Best of Bob Dylan	c906dd1b-208c-4613-95a3-e82d5823ca46	72c536dc-7137-4477-a521-567eeb840fa8	78865629-a788-391b-ac1d-a47e26553c10
0	Sandeep Chowta	Mudduletti		bbab1ea3-2db3-40b6-b45a-977fe399a833	a02f1f31-0895-4d0b-9a6f-815ed51dec92	
0	Billy Joel	We Didn't Start the Fire		4cd2f1e6-b367-4515-8030-796e37da0ef5	64b94289-9474-4d43-8c93-918ccc1920d1	
0	Ilaiyaraaja	Izhan Katru			34394522-a0f0-4675-aad2-30ac3cb3d7d3	
0	A.R. Rahman	Kanmaniye			e0bba708-bdd3-478d-84ea-c706413bedab	
0	Shankar Ehsan Loy	Jaane Kyon				
0	A.R. Rahman	Anbe			e0bba708-bdd3-478d-84ea-c706413bedab	
0	Survivor	Eye of the Tiger		4fb091e3-f584-49aa-951f-8035abf63be1	dded11f4-f525-4e81-b41f-4bfdf27ccf3d	
0	Sandeep Chowta	Yetoi Velli Poindi			a02f1f31-0895-4d0b-9a6f-815ed51dec92	
0	Led Zeppelin	Come With Me			d6e0e274-8e19-44ce-b5b2-52c12f8a674a	
0	Norah Jones	My Dear Country	Not Too Late	3dfaa004-5b47-4e7a-9c54-78afb54ce7a0	985c709c-7771-4de3-9024-7bda29ebe3f9	8cdee963-2bcb-34dd-b682-5d5dc80dbea3
0	John Denver	Take Me Home, Country Roads		3ed37956-e579-450c-9865-9c45c8a37cd9	34e10b51-b5c6-4bc1-b70e-f05f141eda1e	
0	Savage Garden	Two Beds & A Coffee Machine			a871fd87-50f7-4032-b06d-da56779edcce	
0	Yuvan Shankar Raja	Thee Pidikka		c78fd017-7850-4f09-82bd-095589ec8bc1	94439fdd-273b-4255-9608-04cb1969fcfa	
0	A.R. Rahman	Yaaron Sunlo Zara	Rangeela		e0bba708-bdd3-478d-84ea-c706413bedab	
0	The Beatles	Drive My Car / The Word / What You're Doing	Love	09de2f23-384a-4104-a394-0c0a7a0db4d1	b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d	2ecfd0c6-9da6-3d1b-b459-65e0a37a86a3
0	Bob Dylan	Don't Think Twice, It's All Right	The Best of Bob Dylan	4d0c4738-773a-439f-b3ff-1639a9c68181	72c536dc-7137-4477-a521-567eeb840fa8	78865629-a788-391b-ac1d-a47e26553c10
0	Bryan Adams	The Only Thing That Looks Good on Me Is You	Best of Me	047beb65-acf1-49fb-8812-9b7acb2d640f	4dbf5678-7a31-406a-abbe-232f8ac2cd63	
0	Jethro Tull	Wind-Up	Aqualung	c83cc06a-a1ee-40b8-809c-cb0df35fb482	ece57992-dc2e-4f67-a269-fa43626c1a3d	20f367e3-ab11-4dcd-9350-8ef410a126ef
0	Rage Against the Machine	Rage Against The Machine			3798b104-01cb-484c-a3b0-56adc6399b80	
0	Joe Satriani	Heavy Metal Christmas			29762c82-bb92-4acd-b1fb-09cc4da250d2	
0	Ennio Morricone	Cinema Paradiso Theme			a16e47f5-aa54-47fe-87e4-bb8af91a9fdd	
0	Pearl Jam	Mankind		e6d6cee5-d451-4b2e-8f63-cd20630897a6	83b9cbe7-9857-49e2-ab8e-b57b01038103	
0	Bernard Herrmann	Twisted Nerve		27475ab8-3e53-4afd-b788-bfa4e599c4d2	74cad662-0eb6-4044-908e-04680457957a	
0	Red Hot Chili Peppers	Hard to Concentrate	Stadium Arcadium	b9720bd2-c1cb-4933-9699-990909ddaeb5	8bfac288-ccc5-448d-9573-c33ea2aa5c30	176eedfe-de5c-3a7c-bdeb-1c900d317524
0	Shankar Ehsan Loy	Kuch To Hua Hai				
0	A.R. Rahman	Girl Friend	Boys		e0bba708-bdd3-478d-84ea-c706413bedab	
0	The Doors	Waiting for the Sun	The Very Best of The Doors	3d48b6f1-1af2-4c5c-aa27-10e79bd9c440	9efff43b-3b29-4082-824e-bc82f646f93d	475b6b91-86e9-40ba-bb98-c6a65bd1339e
0	Savage Garden	Violet		1327cc95-f8ae-4732-b84e-2bfc287864eb	a871fd87-50f7-4032-b06d-da56779edcce	
0	Atif Aslam	Woh Lamhe Woh Baatein	Zeher		2c26fddb-3926-4004-ae27-22a3896a4f26	
0	Darren Hayes	I Like The Way	The Tension And The Spark	e9e51980-35e5-484a-b62e-7fbe71563def	ec21de7d-2288-4640-a015-edecf6ac147f	1183677e-1746-4129-b69f-8671e6a23165
0	A.R. Rahman	Hai Na	Zubeidaa		e0bba708-bdd3-478d-84ea-c706413bedab	
0	Simon & Garfunkel	Seven O'clock News			5d02f264-e225-41ff-83f7-d9b1f0b1874a	
0	A.R. Rahman	Thee Thee	thiruda thiruda		e0bba708-bdd3-478d-84ea-c706413bedab	
0	Shankar Ehsan Loy	Kaisi Hai Yeh Rut				
0	A.R. Rahman	Nila Kaygirathu			e0bba708-bdd3-478d-84ea-c706413bedab	
0	Eminem	Sing for the Moment	The Eminem Show	f2215158-fc73-4fa0-a287-1d589ac755f1	b95ce3ff-3d05-4e87-9e01-c97b66af13d4	af71f60c-a8e8-4774-a2b3-30dbfaa13bd6
0	Savage Garden	To the Moon & Back		4403fb22-98e5-4879-bc2a-b0f91651d30c	a871fd87-50f7-4032-b06d-da56779edcce	
0	Ilaiyaraaja	nandi konda			34394522-a0f0-4675-aad2-30ac3cb3d7d3	
0	Sandeep Chowta	Kambakth Ishq		3e62b21e-a464-4c2f-8094-a9dce5621269	a02f1f31-0895-4d0b-9a6f-815ed51dec92	
0	Avril Lavigne	Complicated		ef82bf7c-dd8b-4bac-85a8-2211376dc3b4	0103c1cc-4a09-4a5d-a344-56ad99a77193	
0	A.R. Rahman	Kissa Hum Likhenge			e0bba708-bdd3-478d-84ea-c706413bedab	
0	Red Hot Chili Peppers	Torture Me	Stadium Arcadium	d5b853f7-8276-4a18-aeeb-7c77ad280613	8bfac288-ccc5-448d-9573-c33ea2aa5c30	176eedfe-de5c-3a7c-bdeb-1c900d317524
0	Junoon	Sayonee		3fdeec09-e952-4a3a-8a80-c7c38f2594a5	c06c8a2d-6a60-48dd-8c1b-9ca002f5e812	
0	Devi Sri Prasad	Feel My Love		badd43dd-e31a-45c1-b430-c0b02abbbca3	d015addc-d2f8-4754-860f-6376fb7ea034	
0	Norah Jones	Wake Me Up	Not Too Late	d77d89fd-f48b-4232-99a0-4357d3132c7f	985c709c-7771-4de3-9024-7bda29ebe3f9	8cdee963-2bcb-34dd-b682-5d5dc80dbea3
0	A.R. Rahman	ENNUYIRE			e0bba708-bdd3-478d-84ea-c706413bedab	
0	Iron Maiden	Lord of Light	A Matter of Life and Death	85915896-1f02-4835-aebb-f0bd3464fd4f	ca891d65-d9b0-4258-89f7-e6ba29d83767	c113fccc-77b9-326d-9318-ec6dacc8923f
0	Frank Sinatra	Strangers in the Night		647f8be9-b76e-4143-842a-03eb0e36c4f1	197450cd-0124-4164-b723-3c22dd16494d	
0	A.R. Rahman	Instrumental			e0bba708-bdd3-478d-84ea-c706413bedab	
0	Black Eyed Peas	Where Is the Love		cbd8bf6c-0492-44e8-a6c9-6184856525e5	d5be5333-4171-427e-8e12-732087c6b78e	
0	Devi Sri Prasad	Chandrullo Unde Kundelu		9608146d-4ded-4aeb-8536-663da876575a	d015addc-d2f8-4754-860f-6376fb7ea034	
0	The Beatles	Strawberry Fields Forever	Love	9563eae1-c2c8-4c34-bafc-595e3b288709	b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d	2ecfd0c6-9da6-3d1b-b459-65e0a37a86a3
0	Iron Maiden	Brighter Than a Thousand Suns	A Matter of Life and Death	a5170c00-6889-4543-978d-8a274efee612	ca891d65-d9b0-4258-89f7-e6ba29d83767	c113fccc-77b9-326d-9318-ec6dacc8923f
0	Iron Maiden	Out of the Shadows	A Matter of Life and Death	bb503ede-fc2e-4306-a5b1-a4c9630101e3	ca891d65-d9b0-4258-89f7-e6ba29d83767	c113fccc-77b9-326d-9318-ec6dacc8923f
0	A.R. Rahman	Udal mannukku			e0bba708-bdd3-478d-84ea-c706413bedab	
0	Lobo	Me And You And A Dog N			d9ca223e-7cca-4347-9cf1-7de22476b53c	
0	Tom Petty	Big Weekend	Highway Companion	38e13a6c-9e59-42c6-81b1-7695c684f62b	5ca3f318-d028-4151-ac73-78e2b2d6cdcc	a297ad1e-e018-3f3f-b1ef-2eed6538fdc9
